folder_name,candidate_id,function_name,status,gate_status,fail,very_suspicious,suspicious,mildly_suspicious,unusual,normalish,normal,total_results,score_file,stream_file,report_file
candidate_0000560,561,TwistCandidate_0561,REPORT,TOO_MANY_FAIL,5,2,3,3,2,0,31,46,secret_34_outputs_retry/workspace/candidate_0000560/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0000560/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0000560/practrand_b_034BLK.txt
candidate_0000956,957,TwistCandidate_0957,REPORT,TOO_MANY_FAIL,4,6,1,2,2,0,31,46,secret_34_outputs_retry/workspace/candidate_0000956/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0000956/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0000956/practrand_b_034BLK.txt
candidate_0001419,1420,TwistCandidate_1420,REPORT,TOO_MANY_FAIL,4,0,1,0,1,0,40,46,secret_34_outputs_retry/workspace/candidate_0001419/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0001419/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0001419/practrand_b_034BLK.txt
candidate_0001720,1721,TwistCandidate_1721,REPORT,TOO_MANY_FAIL,3,0,0,1,2,0,40,46,secret_34_outputs_retry/workspace/candidate_0001720/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0001720/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0001720/practrand_b_034BLK.txt
candidate_0002125,2126,TwistCandidate_2126,REPORT,TOO_MANY_FAIL,3,2,0,1,0,0,40,46,secret_34_outputs_retry/workspace/candidate_0002125/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0002125/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0002125/practrand_b_034BLK.txt
candidate_0002266,2267,TwistCandidate_2267,REPORT,TOO_MANY_FAIL,4,0,4,2,0,0,36,46,secret_34_outputs_retry/workspace/candidate_0002266/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0002266/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0002266/practrand_b_034BLK.txt
candidate_0002609,2610,TwistCandidate_2610,REPORT,TOO_MANY_FAIL,4,3,1,1,2,0,35,46,secret_34_outputs_retry/workspace/candidate_0002609/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0002609/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0002609/practrand_b_034BLK.txt
candidate_0002744,2745,TwistCandidate_2745,REPORT,TOO_MANY_FAIL,3,1,0,0,0,0,42,46,secret_34_outputs_retry/workspace/candidate_0002744/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0002744/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0002744/practrand_b_034BLK.txt
candidate_0002963,2964,TwistCandidate_2964,REPORT,TOO_MANY_FAIL,4,1,1,2,1,0,37,46,secret_34_outputs_retry/workspace/candidate_0002963/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0002963/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0002963/practrand_b_034BLK.txt
candidate_0003005,3006,TwistCandidate_3006,REPORT,TOO_MANY_FAIL,4,0,1,1,1,0,39,46,secret_34_outputs_retry/workspace/candidate_0003005/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0003005/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0003005/practrand_b_034BLK.txt
candidate_0003279,3280,TwistCandidate_3280,REPORT,PASS,0,0,0,2,1,0,43,46,secret_34_outputs_retry/workspace/candidate_0003279/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0003279/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0003279/practrand_b_034BLK.txt
candidate_0004428,4429,TwistCandidate_4429,REPORT,TOO_MANY_FAIL,4,0,0,1,0,0,41,46,secret_34_outputs_retry/workspace/candidate_0004428/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0004428/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0004428/practrand_b_034BLK.txt
candidate_0004430,4431,TwistCandidate_4431,REPORT,TOO_MANY_FAIL,4,0,2,0,1,0,39,46,secret_34_outputs_retry/workspace/candidate_0004430/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0004430/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0004430/practrand_b_034BLK.txt
candidate_0004713,4714,TwistCandidate_4714,REPORT,TOO_MANY_FAIL,3,1,1,2,1,0,38,46,secret_34_outputs_retry/workspace/candidate_0004713/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0004713/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0004713/practrand_b_034BLK.txt
candidate_0005182,5183,TwistCandidate_5183,REPORT,TOO_MANY_FAIL,5,3,0,2,1,0,35,46,secret_34_outputs_retry/workspace/candidate_0005182/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0005182/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0005182/practrand_b_034BLK.txt
candidate_0006004,6005,TwistCandidate_6005,REPORT,TOO_MANY_FAIL,9,4,1,1,1,0,30,46,secret_34_outputs_retry/workspace/candidate_0006004/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0006004/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0006004/practrand_b_034BLK.txt
candidate_0006726,6727,TwistCandidate_6727,REPORT,TOO_MANY_FAIL,2,2,0,0,0,0,42,46,secret_34_outputs_retry/workspace/candidate_0006726/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0006726/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0006726/practrand_b_034BLK.txt
candidate_0007792,7793,TwistCandidate_7793,REPORT,TOO_MANY_FAIL,5,0,1,2,2,0,36,46,secret_34_outputs_retry/workspace/candidate_0007792/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0007792/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0007792/practrand_b_034BLK.txt
candidate_0007901,7902,TwistCandidate_7902,REPORT,TOO_MANY_FAIL,2,2,0,0,1,0,41,46,secret_34_outputs_retry/workspace/candidate_0007901/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0007901/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0007901/practrand_b_034BLK.txt
candidate_0008419,8420,TwistCandidate_8420,REPORT,TOO_MANY_FAIL,2,1,0,1,0,0,42,46,secret_34_outputs_retry/workspace/candidate_0008419/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0008419/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0008419/practrand_b_034BLK.txt
candidate_0008580,8581,TwistCandidate_8581,REPORT,TOO_MANY_FAIL,4,1,0,1,1,0,39,46,secret_34_outputs_retry/workspace/candidate_0008580/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0008580/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0008580/practrand_b_034BLK.txt
candidate_0009034,9035,TwistCandidate_9035,REPORT,TOO_MANY_FAIL,4,0,0,0,2,0,40,46,secret_34_outputs_retry/workspace/candidate_0009034/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0009034/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0009034/practrand_b_034BLK.txt
candidate_0009451,9452,TwistCandidate_9452,REPORT,TOO_MANY_FAIL,4,1,0,2,0,0,39,46,secret_34_outputs_retry/workspace/candidate_0009451/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0009451/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0009451/practrand_b_034BLK.txt
candidate_0009689,9690,TwistCandidate_9690,REPORT,TOO_MANY_FAIL,4,0,1,2,2,0,37,46,secret_34_outputs_retry/workspace/candidate_0009689/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0009689/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0009689/practrand_b_034BLK.txt
candidate_0009790,9791,TwistCandidate_9791,REPORT,TOO_MANY_FAIL,3,0,1,0,0,0,42,46,secret_34_outputs_retry/workspace/candidate_0009790/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0009790/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0009790/practrand_b_034BLK.txt
candidate_0010015,10016,TwistCandidate_10016,REPORT,TOO_MANY_FAIL,2,2,0,1,3,0,38,46,secret_34_outputs_retry/workspace/candidate_0010015/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0010015/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0010015/practrand_b_034BLK.txt
candidate_0011043,11044,TwistCandidate_11044,REPORT,PASS,0,2,0,0,0,0,44,46,secret_34_outputs_retry/workspace/candidate_0011043/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0011043/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0011043/practrand_b_034BLK.txt
candidate_0011252,11253,TwistCandidate_11253,REPORT,TOO_MANY_FAIL,4,0,2,1,1,0,38,46,secret_34_outputs_retry/workspace/candidate_0011252/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0011252/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0011252/practrand_b_034BLK.txt
candidate_0011447,11448,TwistCandidate_11448,REPORT,TOO_MANY_FAIL,4,0,1,0,0,0,41,46,secret_34_outputs_retry/workspace/candidate_0011447/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0011447/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0011447/practrand_b_034BLK.txt
candidate_0011706,11707,TwistCandidate_11707,REPORT,TOO_MANY_FAIL,5,2,1,1,3,0,34,46,secret_34_outputs_retry/workspace/candidate_0011706/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0011706/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0011706/practrand_b_034BLK.txt
candidate_0011721,11722,TwistCandidate_11722,REPORT,NO_REPORT,0,0,0,0,0,0,0,0,secret_34_outputs_retry/workspace/candidate_0011721/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0011721/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0011721/practrand_b_034BLK.txt
candidate_0011749,11750,TwistCandidate_11750,REPORT,TOO_MANY_FAIL,4,1,1,1,0,0,39,46,secret_34_outputs_retry/workspace/candidate_0011749/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0011749/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0011749/practrand_b_034BLK.txt
candidate_0011811,11812,TwistCandidate_11812,REPORT,TOO_MANY_FAIL,3,1,0,1,2,0,39,46,secret_34_outputs_retry/workspace/candidate_0011811/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0011811/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0011811/practrand_b_034BLK.txt
candidate_0011855,11856,TwistCandidate_11856,REPORT,PASS,0,1,0,3,0,0,42,46,secret_34_outputs_retry/workspace/candidate_0011855/scores_practrand_b_034BLK.txt,secret_34_outputs_retry/workspace/candidate_0011855/b_byte_stream_034BLK.bin,secret_34_outputs_retry/workspace/candidate_0011855/practrand_b_034BLK.txt
